username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2020-02-17 09:45;0;1;"Dating as a single mom in 2020... When do you introduce your kids? Who should pay for dates? All of your questions are answered by celebrity matchmaker @ AmyLaurentMatch on the latest # momming # podcast with @ SimonettiLauren. Listen & subscribe here:http://ow.ly/H6n350ymHV8";;@ @;# #;"1229416521279197184";https://twitter.com/foxnewsradio/status/1229416521279197184
;2020-02-17 09:40;1;5;"On Today’s # FoxNewsRundown , Texas Congressman @ RepDanCrenshaw talks about why Washington needs to stop wasting time on ‘silly, petty, really partisan acts’ and his own plan to create solutions around our environmental crisis. Listen:http://ow.ly/2m6750ynNXJ";;@;#;"1229415240594534400";https://twitter.com/foxnewsradio/status/1229415240594534400
;2020-02-17 09:15;1;4;"Two plane loads of Americans landed in the U-S early this morning, but some of them brought the coronavirus with them from that ship in Japan. http://foxrad.io/5mincast";;;;"1229408954557571072";https://twitter.com/foxnewsradio/status/1229408954557571072
;2020-02-17 08:20;1;3;"After one Caucus catastrophe, it’s Nevada’s turn to count votes. @ ChrisStirewalt on today’s # FOXNewsRundown to discuss the future of the Caucus process. Listen on:http://ow.ly/Tbgs50ynNWN";;@;#;"1229395106924503041";https://twitter.com/foxnewsradio/status/1229395106924503041
;2020-02-17 08:10;0;3;"From one quarantine to another for more than 300 Americans who were stuck on a coronavirus infected cruise ship n Japan. http://foxrad.io/5mincast";;;;"1229392581638967302";https://twitter.com/foxnewsradio/status/1229392581638967302
;2020-02-17 07:30;1;5;"Republican Congressman @ RepDanCrenshaw talks about the importance of strength and bravery in the face of today's hyper-sensitive outrage culture on today’s # FoxNewsRundown. Listen: http://ow.ly/8wvf50ynNTZ";;@;#;"1229382607483408385";https://twitter.com/foxnewsradio/status/1229382607483408385
;2020-02-17 07:20;2;10;"Two flights carrying more than 300 Americans from Japan, quarantined on a cruise ship, arriving in the U-S this morning. http://foxrad.io/5mincast";;;;"1229379978380414976";https://twitter.com/foxnewsradio/status/1229379978380414976
;2020-02-16 16:56;11;31;". @ EricTrump tells The # FoxNewsRundown @ MikeBloomberg doesn't have the personality to win: "He has no rallies. He knows now one will show up to his rallies". Click the link below to listen and subscribe. http://ow.ly/Xyh250ynNu1 pic.twitter.com/r2SwAaikuN";;@ @;#;"1229162779673874433";https://twitter.com/foxnewsradio/status/1229162779673874433
;2020-02-16 16:20;2;5;". @ JaredHalpern and @ HotlineJosh recap the New Hampshire primary and preview what to expect heading into Super Tuesday. # FromWashington Listen on:http://ow.ly/XvzQ50yn1a5";;@ @;#;"1229153504448712706";https://twitter.com/foxnewsradio/status/1229153504448712706
;2020-02-16 14:00;3;16;"“If @ realDonaldTrump did that, the guy would be in jail for the rest of his life!” Eric Trump says Roger Stone and Republicans are treated differently by the Justice system than James Comey, Hillary Clinton and other Democrats. Hear our full interview: http://ow.ly/qpuk50yn0hk";;@;;"1229118349122162689";https://twitter.com/foxnewsradio/status/1229118349122162689
;2020-02-16 12:00;0;5;"Ricky Stenhouse Jr. will lead the field at today’s # DAYTONA500! We spoke to @ StenhouseJr before today’s race! Listen to our full conversation with the # NASCAR star on The # FoxNewsRundown # Extra http://ow.ly/rfBj50ymZbz";;@;# # # #;"1229088189744369665";https://twitter.com/foxnewsradio/status/1229088189744369665
;2020-02-16 11:25;2;11;"Making healthcare cheaper & prescription drugs more affordable has been a bipartisan agreement, but Democrats are saying President Trump broke that promise w/ his new budget proposal. @ JaredHalpern discusses with @ NCPSSM's @ danieladcock # FromWashignton http://ow.ly/TmF550yn15O";;@ @ @;#;"1229079264487772161";https://twitter.com/foxnewsradio/status/1229079264487772161
;2020-02-16 11:00;3;14;"Eric Trump slams Jeff Bezos and fires back at the 'disgusting' @ wapo story alleging steep Secret Service charges by Trump Org. Listen to our unedited interview with the president’s son on The # FoxNewsRundown # Extra http://ow.ly/6JP750yn0f2";;@;# #;"1229073078526849025";https://twitter.com/foxnewsradio/status/1229073078526849025
;2020-02-16 09:20;2;15;"Celebrity matchmaker @ AmyLaurentMatch joined @ SimonettiLauren on "We're Momming Today!" to answer everything we want to know about dating in today's society & you do not want to miss it! Listen & subscribe at the link below. Don't forget to rate & review!http://ow.ly/1PyZ50ymHEE";;@ @;;"1229047803034439686";https://twitter.com/foxnewsradio/status/1229047803034439686
;2020-02-16 08:00;9;26;"“Disgusting!” @ EricTrump weighs in on Michael Bloomberg, the #2020 race and Roger Stone firestorm! Hear our complete, unedited interview with the president’s son on The # FoxNewsRundown # Extra http://ow.ly/Eo9S50yn0cT pic.twitter.com/N3XojA9GW1";;@;#2020 # #;"1229027714809630722";https://twitter.com/foxnewsradio/status/1229027714809630722
;2020-02-15 17:26;1;4;"There is speculation that democratic presidential candidate, billionaire Mike Bloomberg, might possible pick Hillary Clinton as his running mate were he to win the 0nomination http://ow.ly/xgdR50ynqQU";;;;"1228807805395709952";https://twitter.com/foxnewsradio/status/1228807805395709952
;2020-02-15 16:00;0;5;"Do you ever wonder how much @ ChrisStirewalt knows about deceased presidents? Well now you can find out! Listen to the latest # ITYW # podcast from Chris & @ DanaPerino on @ ApplePodcasts or at the link below. Be sure to rate & review!http://ow.ly/r46a50ymIvg";;@ @ @;# #;"1228786147469529090";https://twitter.com/foxnewsradio/status/1228786147469529090
;2020-02-15 14:45;4;17;"On # TheOne # podcast, @ greggutfeld & his panel weigh in on PETA asking people to stop using the words "pet" & "owner." Catch it on @ ApplePodcasts or your favorite podcast platform. Be sure to rate & review!http://ow.ly/9hSO50ymGNk";;@ @;# #;"1228767208635084800";https://twitter.com/foxnewsradio/status/1228767208635084800
;2020-02-15 13:10;1;8;"It's been a week since President Trump was acquitted by the Senate, ending his # impeachment trial. @ JaredHalpern and @ ChadPergram discuss the post-impeachment Congress. # FromWashington Listen on: http://ow.ly/VYbo50yn10U";;@ @;# #;"1228743305896382464";https://twitter.com/foxnewsradio/status/1228743305896382464
;2020-02-15 13:00;2;6;"On # LivintheBream # podcast, @ ShannonBream is joined by author @ donbendell & his wife, Social Psychologist Dr. Janet Bendell, to discuss their new book "Real Men Are Cowboys & Women Love Them," & Don's real life inspiration for the book. Listen here:http://ow.ly/l0VK50ymHgo";;@ @;# #;"1228740898978172928";https://twitter.com/foxnewsradio/status/1228740898978172928
;2020-02-15 13:00;2;7;"NYPD Commissioner Dermot Shea @ NYPDShea announces arrest of 14-yr old made in fatal December stabbing of 18-yr old Barnard college student.http://ow.ly/ytzm50ynmoG";;@;;"1228740813838000130";https://twitter.com/foxnewsradio/status/1228740813838000130
;2020-02-15 12:00;2;16;"Ricky @ StenhouseJr explains how his racing career has been inspired by the movie "Talladega Nights!" # DAYTONA500 # NASCAR LISTEN: http://ow.ly/tHcK50ymZlM pic.twitter.com/jWncn7es6f";;@;# #;"1228725826868387841";https://twitter.com/foxnewsradio/status/1228725826868387841
